ID-T;PLAZA VINCULADA;% ÚTIL PRIV-T;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B2-TR-34;B2-PL-34;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-35;B2-PL-35;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-36;B2-PL-36;0,14%;12,35;7,27;7,27;11.703,59 €
B2-TR-37;B2-PL-37;0,14%;12,35;7,27;7,27;11.703,59 €
B2-TR-38;B2-PL-38;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-39;B2-PL-39;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-40;B2-PL-40;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-41;B2-PL-41;0,14%;12,35;7,27;7,27;11.703,59 €
B2-TR-42;B2-PL-42;0,14%;12,35;7,27;7,27;11.703,59 €
B2-TR-43;B2-PL-43;0,12%;11,05;6,5;6,5;10.464,01 €
B2-TR-44;B2-PL-44;0,14%;12,65;7,44;7,44;11.977,27 €
B2-TR-45;B2-PL-45;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-46;B2-PL-46;0,14%;12,35;7,27;7,27;11.703,59 €
B2-TR-47;B2-PL-47;0,14%;12,35;7,27;7,27;11.703,59 €
B2-TR-48;B2-PL-48;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-49;B2-PL-49;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-50;B2-PL-50;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-51;B2-PL-51;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-52;B2-PL-52;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-53;B2-PL-53;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-54;B2-PL-54;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-55;B2-PL-55;0,13%;11,85;6,97;6,97;11.220,64 €
B2-TR-56;B2-PL-56;0,23%;20,67;12,16;8;12.878,78 €
B2-TR-57;B2-PL-57;0,17%;14,99;8,82;8;12.878,78 €
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
