GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;GARAJES;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS;TRASTEROS VINCULADOS
ID-G;TRASTERO VINC;% ÚTIL PRIV-G;CONST-G;ÚTIL PRIV-G;ZC RODADURA;PRIV+ZC;CALIFICABLE-G;PRECIO MÁX-G;TIPO-G;ID-T;% ÚTIL PRIV2;CONST-T;ÚTIL PRIV-T;CALIFICABLE-T;PRECIO MÁX-T
B2-PL-48;B2-TR-48;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-48;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-49;B2-TR-49;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-49;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-50;B2-TR-50;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-50;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-51;B2-TR-51;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-51;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-52;B2-TR-52;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-52;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-53;B2-TR-53;0,26%;22,65;13,33;2,09;15,42;15,42;24.823,86 €;ABIERTO;B2-TR-53;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-54;B2-TR-54;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-54;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-55;B2-TR-55;0,26%;23,23;13,67;2,15;15,82;15,82;25.467,80 €;ABIERTO;B2-TR-55;0,13%;11,85;6,97;6,97;11.220,64 €
B2-PL-56;B2-TR-56;0,44%;38,75;22,8;3,58;26,38;25;40.246,20 €;ABIERTO;B2-TR-56;0,23%;20,67;12,16;8;12.878,78 €
B2-PL-57;B2-TR-57;0,28%;25,29;14,88;2,34;17,22;17,22;27.721,58 €;ABIERTO;B2-TR-57;0,17%;14,99;8,82;8;12.878,78 €
