;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;DATOS GENERALES;UBICACIÓN;UBICACIÓN;UBICACIÓN;UBICACIÓN;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;SUPERFICIES ÚTILES INTERIORES VIVIENDAS;ÚTIL SERV.COM.;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;SUP. ÚTILES EXTERIORES PRIVATIVAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;TOTAL ÚTIL VIVIENDAS;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO VPP;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO INTERIOR. CRITERIO LIBRE;CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO REAL PRIVATIVO EXTERIOR(CRITERIO URBANÍSTICO);CONSTRUIDO TOTAL;CONSTRUIDO TOTAL;CONSTRUIDO TOTAL;PRECIOS MÁX. VIV
VIVIENDAS;Nº DORM;Nº BAÑOS;EDIFICIO;FASE;PORTAL;NIVEL;TIPO;POSICIÓN;ORIENTACIÓN;ENTRADA;DISTRIB. 1;E+C;K;E+C+K;LAV;D1;D2;D3;D4;B1;B2;TOTAL;S. SOCIAL;DESCUBIERTAS;CUBIERTAS;TOTAL2;EXT. COMP.;REAL I+E;REAL I+EXT POND 50%;CRIT.VPP;MÁX;CALIFICABLE;% PARTICIP.;NETA;Z. COMÚN/ÚTIL;NETA+ZC/ÚTIL;NETA2;ZC/C.NETA;NETA+ZC/C.NETA;COMP 100%;COMP 50%;COMP 25%;COMP 0%;TOTAL EXT REAL;TOTAL EXT COMP.;URBANÍSTICO;CRITERIO VPP;DECRETO;MÁXIMO
B4-1-K;2;2;B4;4;1;1;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-1-L;2;2;B4;4;1;1;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-2-A;2;2;B4;4;1;2;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-2-B;2;2;B4;4;1;2;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-2-C;3;2;B4;4;1;2;Esquina;Zona Verde Pública;NorOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;192.001,20 €
B4-2-D;3;2;B4;4;1;2;Esquina;Campo de Golf;SurOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;192.001,20 €
B4-2-E;3;2;B4;4;1;2;Central;Campo de Golf;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,03;11,03;5,52;77,40;71,89;71,89;90,00;71,89;0,5105%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;0,00;0,00;0,00;0,00;0,00;75,63;75,63;75,63;192.886,62 €
B4-2-F;3;2;B4;4;1;2;Central;Campo de Golf;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,58;9,58;4,79;80,90;76,11;76,11;90,00;76,11;0,5405%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;0,00;0,00;0,00;0,00;0,00;82,61;82,61;82,61;204.209,22 €
B4-2-G;3;2;B4;4;1;2;Central;Campo de Golf;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,58;9,58;4,79;80,90;76,11;76,11;90,00;76,11;0,5405%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;0,00;0,00;0,00;0,00;0,00;82,61;82,61;82,61;204.209,22 €
B4-2-H;3;2;B4;4;1;2;Central;Campo de Golf;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,03;11,03;5,52;77,40;71,89;71,89;90,00;71,89;0,5105%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;0,00;0,00;0,00;0,00;0,00;75,63;75,63;75,63;192.886,62 €
B4-2-I;3;2;B4;4;1;2;Esquina;Campo de Golf;SurOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;192.001,20 €
B4-2-J;3;2;B4;4;1;2;Esquina;Piscina;SurEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;0,00;7,12;7,12;3,56;75,12;71,56;71,56;90,00;71,56;0,5082%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;192.001,20 €
B4-2-K;2;2;B4;4;1;2;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-2-L;2;2;B4;4;1;2;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;0,00;9,27;9,27;4,64;68,67;64,04;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-3-A;2;2;B4;4;1;3;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;9,27;9,27;18,54;4,64;77,94;68,67;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-3-B;2;2;B4;4;1;3;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;9,27;9,27;18,54;4,64;77,94;68,67;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-3-C;3;2;B4;4;1;3;Esquina;Zona Verde Pública;NorOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B4-3-D;3;2;B4;4;1;3;Esquina;Campo de Golf;SurOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B4-3-E;3;2;B4;4;1;3;Central;Campo de Golf;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,03;11,03;5,52;77,40;71,89;71,89;90,00;71,89;0,5105%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;0,00;0,00;0,00;0,00;0,00;75,63;75,63;75,63;192.886,62 €
B4-3-F;3;2;B4;4;1;3;Central;Campo de Golf;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,58;9,58;4,79;80,90;76,11;76,11;90,00;76,11;0,5405%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;0,00;0,00;0,00;0,00;0,00;82,61;82,61;82,61;204.209,22 €
B4-3-G;3;2;B4;4;1;3;Central;Campo de Golf;SurOeste;3,81;2,48;0,00;0,00;26,64;0,00;12,52;8,26;8,26;0,00;4,55;4,80;71,32;0,00;0,00;9,58;9,58;4,79;80,90;76,11;76,11;90,00;76,11;0,5405%;82,61;0,00;82,61;82,61;0,00;82,61;0,00;0,00;0,00;0,00;0,00;0,00;82,61;82,61;82,61;204.209,22 €
B4-3-H;3;2;B4;4;1;3;Central;Campo de Golf;SurOeste;0,00;2,31;0,00;0,00;25,96;0,00;15,57;8,11;8,11;0,00;3,79;2,52;66,37;0,00;0,00;11,03;11,03;5,52;77,40;71,89;71,89;90,00;71,89;0,5105%;75,63;0,00;75,63;75,63;0,00;75,63;0,00;0,00;0,00;0,00;0,00;0,00;75,63;75,63;75,63;192.886,62 €
B4-3-I;3;2;B4;4;1;3;Esquina;Campo de Golf;SurOeste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B4-3-J;3;2;B4;4;1;3;Esquina;Piscina;SurEste;0,00;3,34;0,00;0,00;25,36;0,00;12,82;9,19;9,07;0,00;3,75;4,47;68,00;0,00;7,12;0,00;7,12;0,00;75,12;71,56;68,00;90,00;68,00;0,4829%;77,97;0,00;77,97;77,97;0,00;77,97;0,00;0,00;0,00;0,00;0,00;0,00;77,97;77,97;77,97;182.449,44 €
B4-3-K;2;2;B4;4;1;3;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;9,27;9,27;18,54;4,64;77,94;68,67;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-3-L;2;2;B4;4;1;3;Central;Zona Verde Pública;NorEste;0,00;1,81;0,00;0,00;25,06;0,00;13,35;9,84;0,00;0,00;4,45;4,89;59,40;0,00;9,27;9,27;18,54;4,64;77,94;68,67;64,04;70,00;64,04;0,4548%;68,75;0,00;68,75;68,75;0,00;68,75;0,00;0,00;0,00;0,00;0,00;0,00;68,75;68,75;68,75;171.824,44 €
B4-4-A;4;2;B4;4;1;4;Ático Esquina;Campo de Golf;SurOeste;2,45;4,22;0,00;0,00;33,88;0,00;14,95;8,36;8,54;8,86;5,25;3,16;89,67;0,00;221,71;0,00;221,71;0,00;311,38;200,53;89,67;90,00;89,67;0,6368%;104,49;0,00;104,49;104,49;0,00;104,49;0,00;0,00;0,00;0,00;0,00;0,00;104,49;104,49;104,49;240.591,78 €
B4-4-B;3;2;B4;4;1;4;Ático Central;Campo de Golf;SurOeste;0,00;2,39;0,00;0,00;30,40;0,00;12,49;8,19;8,07;0,00;5,01;5,13;71,68;0,00;44,52;0,00;44,52;0,00;116,20;93,94;71,68;90,00;71,68;0,5090%;83,84;0,00;83,84;83,84;0,00;83,84;0,00;0,00;0,00;0,00;0,00;0,00;83,84;83,84;83,84;192.323,17 €
B4-4-C;3;2;B4;4;1;4;Ático Central;Campo de Golf;SurOeste;0,00;2,39;0,00;0,00;30,40;0,00;12,49;8,19;8,07;0,00;5,01;5,13;71,68;0,00;44,48;0,00;44,48;0,00;116,16;93,92;71,68;90,00;71,68;0,5090%;83,84;0,00;83,84;83,84;0,00;83,84;0,00;0,00;0,00;0,00;0,00;0,00;83,84;83,84;83,84;192.323,17 €
B4-4-D;4;2;B4;4;1;4;Ático Esquina;Campo de Golf;SurOeste;2,45;4,22;0,00;0,00;33,88;0,00;14,95;8,36;8,54;8,86;5,25;3,16;89,67;0,00;0,00;0,00;0,00;0,00;89,67;89,67;89,67;90,00;89,67;0,6368%;104,49;0,00;104,49;104,49;0,00;104,49;0,00;0,00;0,00;0,00;0,00;0,00;104,49;104,49;104,49;240.591,78 €
